epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.42125,0.74702,3.68176,1.1721,0.0088,0.98701,0.22046,0.20005,0.35986,3.09708,0.7557,0.00014994,0.00014994,0.00014994
2,13.9357,0.6041,2.47982,1.09125,0.87052,0.1215,0.6929,0.60013,0.46353,2.38308,0.78846,0.000306989,0.000306989,0.000306989
3,19.0243,0.60539,1.56608,1.04666,0.89437,0.81109,0.93679,0.80535,0.51144,1.41995,0.85971,0.000462785,0.000462785,0.000462785
4,24.1682,0.62527,1.36117,1.06151,0.77414,0.79119,0.87578,0.69181,0.68534,1.52503,1.03639,0.000617328,0.000617328,0.000617328
1,14.8421,0.74133,3.64358,1.16319,0.00862,0.98746,0.22653,0.19779,0.41346,3.11943,0.78365,0.00014994,0.00014994,0.00014994
2,27.8021,0.60475,2.50415,1.08483,0.98739,0.11835,0.70756,0.61531,0.42625,2.45981,0.78547,0.000306989,0.000306989,0.000306989
3,40.8698,0.60465,1.67704,1.05885,0.86644,0.55155,0.78799,0.63008,0.71443,2.02931,1.00393,0.000462785,0.000462785,0.000462785
4,53.9249,0.60979,1.34194,1.03975,0.71339,0.62755,0.78661,0.62584,0.66819,1.9384,0.99105,0.000617328,0.000617328,0.000617328
5,67.0429,0.63934,1.2905,1.08354,0.5524,0.53663,0.56245,0.40904,0.95533,2.70259,1.29338,0.000770617,0.000770617,0.000770617
6,80.0549,0.65821,1.21071,1.06032,0.62174,0.54805,0.61393,0.40188,0.96754,2.31309,1.38215,0.000816507,0.000816507,0.000816507
7,92.9026,0.65481,1.12572,1.06906,0.69706,0.56857,0.62497,0.46284,0.82735,2.18316,1.08168,0.000813208,0.000813208,0.000813208
8,105.928,0.66045,1.04123,1.06898,0.78369,0.82929,0.87625,0.74612,0.5668,1.26882,0.93009,0.000809909,0.000809909,0.000809909
9,118.833,0.6371,0.95318,1.06724,0.7908,0.7505,0.84569,0.71347,0.55905,1.51112,0.87552,0.000806611,0.000806611,0.000806611
10,131.696,0.63608,0.89337,1.05873,0.9014,0.81408,0.93308,0.77476,0.57296,0.9893,0.89718,0.000803312,0.000803312,0.000803312
11,144.434,0.58591,0.7694,1.02322,0.94018,0.89195,0.95041,0.82792,0.49705,0.69848,0.82888,0.000800013,0.000800013,0.000800013
12,157.186,0.55278,0.73473,1.0154,0.83596,0.78081,0.90375,0.76352,0.53677,1.32524,0.85528,0.000796715,0.000796715,0.000796715
13,170.243,0.55623,0.68928,1.00337,0.92465,0.94179,0.95557,0.83191,0.50216,0.61331,0.81136,0.000793416,0.000793416,0.000793416
14,183.048,0.55823,0.67573,1.01755,0.93748,0.96065,0.95945,0.86607,0.41716,0.54363,0.78973,0.000790117,0.000790117,0.000790117
15,195.806,0.53512,0.65339,1.00899,0.90949,0.90573,0.94444,0.8715,0.38765,0.65596,0.77935,0.000786818,0.000786818,0.000786818
16,208.539,0.54044,0.65207,1.00994,0.90128,0.92908,0.95589,0.85003,0.45425,0.59328,0.80548,0.00078352,0.00078352,0.00078352
17,221.203,0.5138,0.60686,0.99915,0.95185,0.968,0.96667,0.88169,0.41286,0.47421,0.77777,0.000780221,0.000780221,0.000780221
18,233.838,0.53131,0.59716,0.99685,0.95101,0.97892,0.967,0.8798,0.39077,0.43168,0.76336,0.000776922,0.000776922,0.000776922
